club,"age","players used","% foreigners playing time","Stadium size","avg attendance abs","occupancy","covid","covid occupancy","season"
Portimonense,"25.9","26","0.783","6000","0","0","1","0","2020/21"
Porto,"26.3","30","0.721","50399","0","0","1","0","2020/21"
Rio Ave,"27.0","30","0.59","9065","0","0","1","0","2020/21"
Santa Clara,"27.1","28","0.561","15000","1018","0.067866666666667","1","0","2020/21"
Sp Lisbon,"24.8","27","0.469","50080","0","0","1","0","2020/21"
Tondela,"25.3","26","0.544","5000","0","0","1","0","2020/21"
Guimaraes,"24.5","29","0.534","29865","0","0","1","0","2020/21"
Alanyaspor,"28.0","25","0.685","10128","0","0","1","0","2020/21"
Ankaragucu,"26.2","32","0.721","20560","0","0","1","0","2020/21"
Antalyaspor,"29.2","26","0.532","32537","0","0","1","0","2020/21"
Besiktas,"27.1","29","0.762","41188","0","0","1","0","2020/21"
Erzurum BB,"29.8","39","0.629","23700","0","0","1","0","2020/21"
Rizespor,"28.1","34","0.758","15332","0","0","1","0","2020/21"
Denizlispor,"28.9","31","0.708","18745","0","0","1","0","2020/21"
Karagumruk,"29.1","33","0.823","76092","0","0","1","0","2020/21"
Fenerbahce,"28.0","34","0.567","47834","0","0","1","0","2020/21"
Galatasaray,"27.7","35","0.637","52223","0","0","1","0","2020/21"
Gaziantep,"29.5","26","0.656","33502","0","0","1","0","2020/21"
Genclerbirligi,"28.0","30","0.643","20560","0","0","1","0","2020/21"
Goztep,"27.4","31","0.465","19713","0","0","1","0","2020/21"
Hatayspor,"28.0","26","0.822","5583","0","0","1","0","2020/21"
Buyuksehyr,"28.8","34","0.562","17156","0","0","1","0","2020/21"
Kasimpasa,"26.7","33","0.69","13856","0","0","1","0","2020/21"
Kayserispor,"28.2","38","0.777","32864","0","0","1","0","2020/21"
Konyaspor,"27.1","30","0.695","42000","0","0","1","0","2020/21"
Sivasspor,"30.3","27","0.622","27532","0","0","1","0","2020/21"
Trabzonspor,"25.7","33","0.647","40782","0","0","1","0","2020/21"
Yeni Malatyaspor,"27.2","30","0.536","25745","0","0","1","0","2020/21"
Arsenal,"25.8","25","0.784","60,704","0","0.000","1","1","2020/21"
Aston Villa,"25.1","21","0.436","42682","0","0.000","1","1","2020/21"
Brighton,"25.7","26","0.549","30,666","2,000","0.065","1","1","2020/21"
Burnley,"28.4","24","0.249","21994","0","0.000","1","1","2020/21"
Chelsea,"25.7","27","0.729","40853","2000","0.049","1","1","2020/21"
Crystal Palace,"28.8","22","0.642","26047","2000","0.077","1","1","2020/21"
Everton,"26.3","27","0.594","39,571","2000","0.051","1","1","2020/21"
Fulham,"25.3","25","0.701","19000","2000","0.105","1","1","2020/21"
Leeds,"26.0","22","0.66","37890","0","0.000","1","1","2020/21"
Leicester,"26.4","27","0.663","32273","0","0.000","1","1","2020/21"
Liverpool,"26.8","28","0.735","54,074","2,000","0.037","1","1","2020/21"
Man City,"26.1","23","0.776","55017","0","0.000","1","1","2020/21"
Man United,"25.6","25","0.603","74879","0","0.000","1","1","2020/21"
Newcastle,"27.0","27","0.558","52338","0","0.000","1","1","2020/21"
Sheffield United,"26.5","25","0.492","32702","0","0.000","1","1","2020/21"
Southampton,"26.2","29","0.465","32384","2000","0.062","1","1","2020/21"
Tottenham,"27.0","24","0.813","62062","2000","0.032","1","1","2020/21"
West Brom,"26.6","30","0.462","26850","0","0.000","1","1","2020/21"
West Ham,"27.6","24","0.639","60000","2000","0.033","1","1","2020/21"
Wolves,"25.7","26","0.871","32050","0","0.000","1","1","2020/21"
FC Koln,"24.4","27","0.403","50000","300","0.006","1","0","2020/21"
Hoffenheim,"25.5","30","0.727","30150","6165","0.2044776119403","1","0","2020/21"
Bielefeld,"26.0","26","0.539","26515","5460","0.20592117669244","1","0","2020/21"
Leverkusen,"25.6","28","0.649","30210","6042","0.2","1","0","2020/21"
Bayern Munich,"26.8","26","0.458","75024","0","0","1","0","2020/21"
Dortmund,"24.8","26","0.656","81365","7033","0.086437657469428","1","0","2020/21"
M'gladbach,"26.7","23","0.596","54022","5342","0.098885639184036","1","0","2020/21"
Ein Frankfurt,"27.1","24","0.753","51500","7250","0.14077669902913","1","0","2020/21"
Augsburg,"26.6","24","0.595","30660","6000","0.19569471624266","1","0","2020/21"
Hertha,"25.0","29","0.664","74649","4000","0.053584106953877","1","0","2020/21"
Mainz,"25.6","31","0.573","34000","3403","0.10008823529412","1","0","2020/21"
RB Leipzig,"24.7","23","0.887","42146","8500","0.20167987472121","1","0","2020/21"
Freiburg,"26.0","22","0.432","24000","3200","0.13333333333333","1","0","2020/21"
Schalke 04,"25.6","35","0.608","62271","300","0.0048176518764754","1","0","2020/21"
Stuttgart,"23.9","26","0.591","60449","8750","0.14475011993581","1","0","2020/21"
Union Berlin,"26.9","27","0.303","22012","4467","0.20293476285662","1","0","2020/21"
Wolfsburg,"25.6","25","0.756","30000","2566","0.085533333333333","1","0","2020/21"
Werder Bremen,"25.8","26","0.667","42100","8400","0.19952494061758","1","0","2020/21"
