"League","date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Home","Away","season","avg_age","players_used","foreigners_used","stadium_size","avg_att","occupancy","covid","covid_occupancy","avg_age_away","players_used_away","percentage_foreigners_used_away","NA","NA","NA"
"I1",0025-10-20,"17:00","Fiorentina","Udinese","3","2","H","2","1","H","4","11","3","6","16","14","2","7","1","3","0","0","Fiorentina","Udinese","26.6",30,0.731,"47282","0",0,1,0,"2020/21",27.2,30,0.851,"25144","0",0
"I1",0025-10-20,"19:45","Juventus","Verona","1","1","D","0","0","D","16","5","8","2","14","19","6","3","1","4","0","0","Juventus","Verona","26.8",28,0.77,"41507","0",0,1,0,"2020/21",25.7,30,0.468,"39211","0",0
"I1",0026-10-20,"19:45","Milan","Roma","3","3","D","1","1","D","13","11","11","9","15","15","7","7","3","2","0","0","Milan","Roma","24.1",29,0.7,"75923","1000",0.013171239281904,1,0,"2020/21",26.6,26,0.668,"73261","0",0
"I1",0031-10-20,"14:00","Crotone","Atalanta","1","2","A","1","2","A","4","16","2","7","11","22","1","3","1","3","0","0","Crotone","Atalanta","27.4",29,0.595,"16640","0",0,1,0,"2020/21",27,30,0.773,"22512","0",0
"I1",0031-10-20,"17:00","Inter","Parma","2","2","D","0","0","D","18","4","9","3","13","7","15","2","1","1","0","0","Inter","Parma","28.1",23,0.738,"75923","1000",0.013171239281904,1,0,"2020/21",27.4,37,0.693,"22352","0",0
"I1",0031-10-20,"19:45","Bologna","Cagliari","3","2","H","1","1","D","16","6","11","4","12","19","7","3","3","3","0","0","Bologna","Cagliari","26.5",32,0.728,"36462","0",0,1,0,"2020/21",25.9,31,0.644,"16416","0",0
"I1",0001-11-20,"11:30","Udinese","Milan","1","2","A","0","1","A","7","8","3","4","14","12","2","4","2","2","0","0","Udinese","Milan","27.2",30,0.851,"25144","0",0,1,0,"2020/21",24.1,29,0.7,"75923","1000",0
"I1",0001-11-20,"14:00","Spezia","Juventus","1","4","A","1","1","D","11","8","3","5","14","7","4","3","3","1","0","0","Spezia","Juventus","25.1",34,0.497,"10336","0",0,1,0,"2020/21",26.8,28,0.77,"41507","0",0
"I1",0001-11-20,"14:00","Torino","Lazio","3","4","A","2","1","H","8","9","6","5","11","12","7","1","2","4","0","0","Torino","Lazio","26.6",28,0.619,"27994","0",0,1,0,"2020/21",28.9,27,0.754,"73261","0",0
"I1",0001-11-20,"17:00","Napoli","Sassuolo","0","2","A","0","0","D","18","8","7","5","7","9","12","3","2","2","0","0","Napoli","Sassuolo","26.9",25,0.72,"54726","0",0,1,0,"2020/21",26.3,27,0.569,"21584","0",0
"I1",0001-11-20,"17:00","Roma","Fiorentina","2","0","H","1","0","H","11","3","7","1","17","16","7","4","3","2","0","1","Roma","Fiorentina","26.6",26,0.668,"73261","0",0,1,0,"2020/21",26.6,30,0.731,"47282","0",0
"I1",0001-11-20,"19:45","Sampdoria","Genoa","1","1","D","1","1","D","9","7","3","4","19","11","7","4","5","1","0","0","Sampdoria","Genoa","27.7",26,0.561,"36348","0",0,1,0,"2020/21",27.8,33,0.453,"36599","0",0
"I1",0002-11-20,"19:45","Verona","Benevento","3","1","H","1","0","H","10","10","7","5","18","14","4","5","5","4","0","1","Verona","Benevento","25.7",30,0.468,"39211","0",0,1,0,"2020/21",28.3,26,0.381,"16867","0",0
"I1",0004-11-20,"16:00","Genoa","Torino","1","2","A","0","2","A","9","6","4","1","10","18","5","2","2","4","0","0","Genoa","Torino","27.8",33,0.453,"36599","0",0,1,0,"2020/21",26.6,28,0.619,"27994","0",0
"I1",0006-11-20,"19:45","Sassuolo","Udinese","0","0","D","0","0","D","3","0","1","0","17","13","3","6","2","2","0","0","Sassuolo","Udinese","26.3",27,0.569,"21584","0",0,1,0,"2020/21",27.2,30,0.851,"25144","0",0
"I1",0007-11-20,"14:00","Cagliari","Sampdoria","2","0","H","0","0","D","13","5","7","1","12","16","2","6","0","2","0","1","Cagliari","Sampdoria","25.9",31,0.644,"16416","0",0,1,0,"2020/21",27.7,26,0.561,"36348","0",0
"I1",0007-11-20,"17:00","Benevento","Spezia","0","3","A","0","1","A","4","13","3","7","13","18","2","4","3","3","0","0","Benevento","Spezia","28.3",26,0.381,"16867","0",0,1,0,"2020/21",25.1,34,0.497,"10336","0",0
"I1",0007-11-20,"19:45","Parma","Fiorentina","0","0","D","0","0","D","5","6","0","4","17","17","2","3","1","2","0","0","Parma","Fiorentina","27.4",37,0.693,"22352","0",0,1,0,"2020/21",26.6,30,0.731,"47282","0",0
"I1",0008-11-20,"11:30","Lazio","Juventus","1","1","D","0","1","A","7","9","3","6","12","12","4","2","2","2","0","0","Lazio","Juventus","28.9",27,0.754,"73261","0",0,1,0,"2020/21",26.8,28,0.77,"41507","0",0
"I1",0008-11-20,"14:00","Atalanta","Inter","1","1","D","0","0","D","9","10","4","3","15","13","2","5","1","3","0","0","Atalanta","Inter","27",30,0.773,"22512","0",0,1,0,"2020/21",28.1,23,0.738,"75923","1000",0
"I1",0008-11-20,"14:00","Genoa","Roma","1","3","A","0","1","A","7","18","5","11","10","11","1","8","1","0","0","0","Genoa","Roma","27.8",33,0.453,"36599","0",0,1,0,"2020/21",26.6,26,0.668,"73261","0",0
"I1",0008-11-20,"14:00","Torino","Crotone","0","0","D","0","0","D","5","7","1","2","15","16","6","3","3","4","0","1","Torino","Crotone","26.6",28,0.619,"27994","0",0,1,0,"2020/21",27.4,29,0.595,"16640","0",0
"I1",0008-11-20,"17:00","Bologna","Napoli","0","1","A","0","1","A","6","8","4","4","12","11","4","7","3","0","0","0","Bologna","Napoli","26.5",32,0.728,"36462","0",0,1,0,"2020/21",26.9,25,0.72,"54726","0",0
"I1",0008-11-20,"19:45","Milan","Verona","2","2","D","1","2","A","21","5","9","3","16","20","14","1","1","3","0","0","Milan","Verona","24.1",29,0.7,"75923","1000",0.013171239281904,1,0,"2020/21",25.7,30,0.468,"39211","0",0
"I1",0021-11-20,"14:00","Crotone","Lazio","0","2","A","0","1","A","12","13","6","9","11","11","2","6","3","4","0","0","Crotone","Lazio","27.4",29,0.595,"16640","0",0,1,0,"2020/21",28.9,27,0.754,"73261","0",0
"I1",0021-11-20,"17:00","Spezia","Atalanta","0","0","D","0","0","D","6","9","3","5","19","18","1","2","3","3","0","0","Spezia","Atalanta","25.1",34,0.497,"10336","0",0,1,0,"2020/21",27,30,0.773,"22512","0",0
"I1",0021-11-20,"19:45","Juventus","Cagliari","2","0","H","2","0","H","13","2","8","0","11","7","9","1","3","2","0","0","Juventus","Cagliari","26.8",28,0.77,"41507","0",0,1,0,"2020/21",25.9,31,0.644,"16416","0",0
"I1",0022-11-20,"11:30","Fiorentina","Benevento","0","1","A","0","0","D","5","10","3","4","14","16","4","4","2","3","0","0","Fiorentina","Benevento","26.6",30,0.731,"47282","0",0,1,0,"2020/21",28.3,26,0.381,"16867","0",0
"I1",0022-11-20,"14:00","Inter","Torino","4","2","H","0","1","A","9","11","7","6","20","14","1","1","3","2","0","0","Inter","Torino","28.1",23,0.738,"75923","1000",0.013171239281904,1,0,"2020/21",26.6,28,0.619,"27994","0",0
"I1",0022-11-20,"14:00","Roma","Parma","3","0","H","3","0","H","12","1","7","1","5","4","4","1","0","0","0","0","Roma","Parma","26.6",26,0.668,"73261","0",0,1,0,"2020/21",27.4,37,0.693,"22352","0",0
"I1",0022-11-20,"14:00","Sampdoria","Bologna","1","2","A","1","1","D","8","7","4","5","10","9","9","10","2","2","0","0","Sampdoria","Bologna","27.7",26,0.561,"36348","0",0,1,0,"2020/21",26.5,32,0.728,"36462","0",0
"I1",0022-11-20,"14:00","Verona","Sassuolo","0","2","A","0","1","A","13","10","7","5","13","20","6","1","1","3","0","0","Verona","Sassuolo","25.7",30,0.468,"39211","0",0,1,0,"2020/21",26.3,27,0.569,"21584","0",0
"I1",0022-11-20,"17:00","Udinese","Genoa","1","0","H","1","0","H","7","5","4","1","17","15","4","8","2","3","0","1","Udinese","Genoa","27.2",30,0.851,"25144","0",0,1,0,"2020/21",27.8,33,0.453,"36599","0",0
"I1",0022-11-20,"19:45","Napoli","Milan","1","3","A","0","1","A","16","11","9","7","8","16","8","5","3","4","1","0","Napoli","Milan","26.9",25,0.72,"54726","0",0,1,0,"2020/21",24.1,29,0.7,"75923","1000",0
"I1",0028-11-20,"14:00","Sassuolo","Inter","0","3","A","0","2","A","7","9","3","4","13","16","6","2","3","1","0","0","Sassuolo","Inter","26.3",27,0.569,"21584","0",0,1,0,"2020/21",28.1,23,0.738,"75923","1000",0
"I1",0028-11-20,"17:00","Benevento","Juventus","1","1","D","1","1","D","8","11","5","5","13","13","5","8","6","1","0","1","Benevento","Juventus","28.3",26,0.381,"16867","0",0,1,0,"2020/21",26.8,28,0.77,"41507","0",0
"I1",0028-11-20,"19:45","Atalanta","Verona","0","2","A","0","0","D","15","7","6","3","12","15","4","1","2","3","0","0","Atalanta","Verona","27",30,0.773,"22512","0",0,1,0,"2020/21",25.7,30,0.468,"39211","0",0
"I1",0029-11-20,"11:30","Lazio","Udinese","1","3","A","0","2","A","8","6","6","4","16","10","4","4","3","4","0","0","Lazio","Udinese","28.9",27,0.754,"73261","0",0,1,0,"2020/21",27.2,30,0.851,"25144","0",0
"I1",0029-11-20,"14:00","Bologna","Crotone","1","0","H","1","0","H","11","5","7","1","15","18","10","3","2","4","0","0","Bologna","Crotone","26.5",32,0.728,"36462","0",0,1,0,"2020/21",27.4,29,0.595,"16640","0",0
"I1",0029-11-20,"14:00","Milan","Fiorentina","2","0","H","2","0","H","11","5","5","3","15","15","3","6","2","4","0","0","Milan","Fiorentina","24.1",29,0.7,"75923","1000",0.013171239281904,1,0,"2020/21",26.6,30,0.731,"47282","0",0
"I1",0029-11-20,"17:00","Cagliari","Spezia","2","2","D","0","1","A","9","12","4","5","16","18","4","5","0","4","0","0","Cagliari","Spezia","25.9",31,0.644,"16416","0",0,1,0,"2020/21",25.1,34,0.497,"10336","0",0
"I1",0029-11-20,"19:45","Napoli","Roma","4","0","H","1","0","H","13","4","9","1","3","10","11","4","1","2","0","0","Napoli","Roma","26.9",25,0.72,"54726","0",0,1,0,"2020/21",26.6,26,0.668,"73261","0",0
"I1",0030-11-20,"17:30","Torino","Sampdoria","2","2","D","1","0","H","11","7","8","2","17","17","6","2","1","2","0","0","Torino","Sampdoria","26.6",28,0.619,"27994","0",0,1,0,"2020/21",27.7,26,0.561,"36348","0",0
"I1",0030-11-20,"19:45","Genoa","Parma","1","2","A","0","1","A","12","7","5","3","12","16","2","2","2","2","0","0","Genoa","Parma","27.8",33,0.453,"36599","0",0,1,0,"2020/21",27.4,37,0.693,"22352","0",0
"I1",0005-12-20,"14:00","Spezia","Lazio","1","2","A","0","2","A","11","3","6","2","15","12","7","0","3","1","0","0","Spezia","Lazio","25.1",34,0.497,"10336","0",0,1,0,"2020/21",28.9,27,0.754,"73261","0",0
"I1",0005-12-20,"17:00","Juventus","Torino","2","1","H","0","1","A","9","5","5","2","17","10","13","1","3","3","1","0","Juventus","Torino","26.8",28,0.77,"41507","0",0,1,0,"2020/21",26.6,28,0.619,"27994","0",0
"I1",0005-12-20,"19:45","Inter","Bologna","3","1","H","2","0","H","11","9","9","7","12","13","7","3","1","2","0","0","Inter","Bologna","28.1",23,0.738,"75923","1000",0.013171239281904,1,0,"2020/21",26.5,32,0.728,"36462","0",0
"I1",0006-12-20,"11:30","Verona","Cagliari","1","1","D","1","0","H","12","9","6","5","11","14","7","5","2","0","0","0","Verona","Cagliari","25.7",30,0.468,"39211","0",0,1,0,"2020/21",25.9,31,0.644,"16416","0",0
"I1",0006-12-20,"14:00","Parma","Benevento","0","0","D","0","0","D","6","6","0","4","13","12","6","3","4","4","0","0","Parma","Benevento","27.4",37,0.693,"22352","0",0,1,0,"2020/21",28.3,26,0.381,"16867","0",0
"I1",0006-12-20,"14:00","Roma","Sassuolo","0","0","D","0","0","D","14","7","5","2","10","12","12","5","5","3","1","0","Roma","Sassuolo","26.6",26,0.668,"73261","0",0,1,0,"2020/21",26.3,27,0.569,"21584","0",0
"I1",0006-12-20,"17:00","Crotone","Napoli","0","4","A","0","1","A","4","11","1","6","14","9","4","1","3","3","1","0","Crotone","Napoli","27.4",29,0.595,"16640","0",0,1,0,"2020/21",26.9,25,0.72,"54726","0",0
"I1",0006-12-20,"19:45","Sampdoria","Milan","1","2","A","0","1","A","6","9","3","6","11","16","9","6","2","1","0","0","Sampdoria","Milan","27.7",26,0.561,"36348","0",0,1,0,"2020/21",24.1,29,0.7,"75923","1000",0
"I1",0007-12-20,"19:45","Fiorentina","Genoa","1","1","D","0","0","D","16","3","8","3","7","20","5","1","2","2","0","0","Fiorentina","Genoa","26.6",30,0.731,"47282","0",0,1,0,"2020/21",27.8,33,0.453,"36599","0",0
"I1",0011-12-20,"19:45","Sassuolo","Benevento","1","0","H","1","0","H","4","17","2","7","12","14","1","10","2","4","1","0","Sassuolo","Benevento","26.3",27,0.569,"21584","0",0,1,0,"2020/21",28.3,26,0.381,"16867","0",0
"I1",0012-12-20,"14:00","Crotone","Spezia","4","1","H","1","1","D","7","9","7","5","16","14","1","4","3","3","0","0","Crotone","Spezia","27.4",29,0.595,"16640","0",0,1,0,"2020/21",25.1,34,0.497,"10336","0",0
"I1",0012-12-20,"17:00","Torino","Udinese","2","3","A","0","1","A","6","5","5","3","9","17","2","2","3","3","0","0","Torino","Udinese","26.6",28,0.619,"27994","0",0,1,0,"2020/21",27.2,30,0.851,"25144","0",0
