"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","avg_age_home","players_used_home","foreigners_home","stadium_size","avg_attendance","occupancy","avg_age_away","players_used_away","foreigners_away","season","league","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","yel_card_spread","rating_diff","xg_diff","age_diff","red_card_spread","importance_diff","covid","home_win","away_win","draw","home_points","away_points","yel_card_ratio_home","red_card_ratio_home","yel_card_ratio_away","red_card_ratio_away","home_points_percentage_total","away_points_percentage_total","shots_ratio_home","shots_ratio_away","goal_diff","diff_point"
2019-04-07,"Everton","Arsenal",1,0,"H",23,7,6,2,8,9,9,6,1,4,0,0,25.5,23,0.633,"39,571","39043",0.986656895,26.4,28,0.94,2018,"Barclays Premier League",72.75,81.93,0.2525,0.492,0.2555,1.18,1.74,0,92.4,2.65,0.35,1.82,0.69,1.05,0,-3,-9.18000000000001,2.3,-0.899999999999999,0,-92.4,0,1,0,0,3,0,0.125,0.125,0.444444444444444,0,1,0,0.260869565217391,0.285714285714286,1,3
2019-04-08,"Chelsea","West Ham",2,0,"H",16,9,7,2,8,7,7,4,2,1,0,0,27.1,24,0.93,"40853","40441",0.989915061,27.7,26,0.747,2018,"Barclays Premier League",85.96,61.56,0.8416,0.0397,0.1187,2.78,0.47,99.8,0,2.13,0.62,2.04,0.91,1.59,0,1,24.4,1.51,-0.599999999999998,0,99.8,0,1,0,0,3,0,0.25,0.25,0.142857142857143,0,1,0,0.4375,0.222222222222222,2,3
2019-04-12,"Leicester","Newcastle",0,1,"A",12,11,5,5,6,10,2,3,2,3,0,0,25.9,25,0.547,"32273","31851",0.986924054,26.6,24,0.826,2018,"Barclays Premier League",73.31,66.42,0.5212,0.2096,0.2692,1.61,0.92,0,4.9,1.01,1.16,1.6,0.99,0,1.05,-1,6.89,-0.15,-0.700000000000003,0,-4.9,0,0,1,0,0,3,0.333333333333333,0.333333333333333,0.3,0,0,1,0.416666666666667,0.454545454545455,-1,-3
2019-04-13,"Brighton","Bournemouth",0,5,"A",8,14,1,7,10,6,4,1,2,4,1,0,27.2,21,0.707,"30,666","30426",0.992173743,26.2,28,0.522,2018,"Barclays Premier League",61.11,64.21,0.4146,0.3112,0.2742,1.48,1.25,22.6,0.4,0.31,2.72,1.19,2.57,0,3.89,-2,-3.09999999999999,-2.41,1,1,22.2,0,0,1,0,0,3,0.2,0.2,0.666666666666667,0,0,1,0.125,0.5,-5,-3
2019-04-13,"Burnley","Cardiff",2,0,"H",14,14,7,2,7,10,8,4,2,3,0,0,27.9,23,0.298,"21994","20534",0.93361826,27.3,25,0.657,2018,"Barclays Premier League",65.98,57.83,0.5172,0.2214,0.2615,1.68,1.01,22.1,43.5,2.75,0.87,1.26,0.68,1.58,0,-1,8.15000000000001,1.88,0.599999999999998,0,-21.4,0,1,0,0,3,0,0.285714285714286,0.285714285714286,0.3,0,1,0,0.5,0.142857142857143,2,3
2019-04-13,"Fulham","Everton",2,0,"H",12,8,5,1,8,10,7,3,2,1,0,0,25.8,28,0.76,"19,000","24371",1.282684211,25.5,23,0.633,2018,"Barclays Premier League",56.74,74.38,0.3181,0.4088,0.2732,1.28,1.48,0,0,1.63,1.1,1.26,1.74,2.1,0,1,-17.64,0.53,0.300000000000001,0,0,0,1,0,0,3,0,0.25,0.25,0.1,0,1,0,0.416666666666667,0.125,2,3
2019-04-13,"Man United","West Ham",2,1,"H",14,18,4,4,14,5,3,11,1,1,0,0,26,28,0.662,"74879","74498",0.994911791,27.7,26,0.747,2018,"Barclays Premier League",79.65,61.78,0.7008,0.1132,0.186,2.37,0.84,52.7,0,2.74,1.74,1.85,2.2,2.1,1.05,0,17.87,1,-1.7,0,52.7,0,1,0,0,3,0,0.0714285714285714,0.0714285714285714,0.2,0,1,0,0.285714285714286,0.222222222222222,1,3
2019-04-13,"Southampton","Wolves",3,1,"H",13,17,6,2,13,8,4,9,1,3,0,0,25.4,30,0.554,"32384","30139",0.930675642,25.4,21,0.808,2018,"Barclays Premier League",66.77,70.44,0.4118,0.3008,0.2874,1.38,1.14,6.5,0,3.24,0.83,1.13,1.09,3.14,1.05,-2,-3.67,2.41,0,0,6.5,0,1,0,0,3,0,0.0769230769230769,0.0769230769230769,0.375,0,1,0,0.461538461538462,0.117647058823529,2,3
2019-04-13,"Tottenham","Huddersfield",4,0,"H",22,7,5,1,10,12,4,2,2,2,0,0,26.6,28,0.679,"62062","54216",0.873578035,25.9,31,0.794,2018,"Barclays Premier League",84.1,52.04,0.8818,0.0162,0.1019,2.65,0.2,100,0,2.33,0.95,2.71,0.73,3.23,0,0,32.06,1.38,0.700000000000003,0,100,0,1,0,0,3,0,0.2,0.2,0.166666666666667,0,1,0,0.227272727272727,0.142857142857143,4,3
2019-04-14,"Crystal Palace","Man City",1,3,"A",7,20,3,6,5,11,2,9,0,0,0,0,27.2,26,0.705,"26047","25455",0.977271855,26.4,21,0.778,2018,"Barclays Premier League",71.09,94.51,0.0858,0.7473,0.1669,0.72,2.48,0,100,0.31,2.69,0.67,3.43,1.05,2.63,0,-23.42,-2.38,0.800000000000001,0,-100,0,0,1,0,0,3,0,0,0,0,0,1,0.428571428571429,0.3,-2,-3
