"season,""date"",""league_id"",""league"",""HomeTeam"",""AwayTeam"",""spi1"",""spi2"",""prob1"",""prob2"",""probtie"",""proj_score1"",""proj_score2"",""importance1"",""importance2"",""score1"",""score2"",""xg1"",""xg2"",""nsxg1"",""nsxg2"",""adj_score1"",""adj_score2"""
"2018,2018-08-12,1849,""Dutch Eredivisie"",""Den Haag"",""FC Emmen"",40.5,35.91,0.4752,0.2368,0.2881,1.52,0.99,25.2,33.5,1,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1832,""Belgian Jupiler League"",""Oostende"",""Genk"",49.57,60.39,0.3228,0.4277,0.2496,1.38,1.63,17.6,43.9,0,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1849,""Dutch Eredivisie"",""Graafschap"",""Feyenoord"",36.26,65.28,0.1793,0.5816,0.2391,1.01,1.99,28.5,53.2,2,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1849,""Dutch Eredivisie"",""Vitesse"",""Groningen"",50.85,45.51,0.4953,0.2401,0.2646,1.74,1.14,15.1,11.4,5,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,2411,""Barclays Premier League"",""Liverpool"",""West Ham"",88.86,64.54,0.8203,0.0505,0.1292,2.75,0.55,54.8,20.7,4,0,3.86,0.38,2.42,0.66,3.75,0"
"2018,2018-08-12,2411,""Barclays Premier League"",""Southampton"",""Burnley"",68.01,64.97,0.4677,0.242,0.2902,1.42,0.94,24,28.8,0,0,0.89,1.55,1.48,1.41,0,0"
"2018,2018-08-12,1843,""French Ligue 1"",""Lyon"",""Amiens"",76.2,53.58,0.7302,0.0867,0.1831,2.18,0.6,59.2,28.6,2,0,1.18,0.33,1.07,0.48,1.98,0"
"2018,2018-08-12,1849,""Dutch Eredivisie"",""AZ"",""NAC"",60.16,39,0.6629,0.1204,0.2167,2.11,0.77,39.1,21.1,5,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1864,""Portuguese Liga"",""Maritimo"",""Santa Clara"",41.75,41.96,0.4438,0.2822,0.274,1.44,1.09,28,23.7,1,0,2.03,0.64,1.41,0.89,1.05,0"
"2018,2018-08-12,1864,""Portuguese Liga"",""Feirense"",""Rio Ave"",41.74,46.35,0.3984,0.3039,0.2977,1.22,1.02,25.1,16.8,2,0,0.94,0.43,0.85,0.92,2.1,0"
"2018,2018-08-12,1843,""French Ligue 1"",""Bordeaux"",""Strasbourg"",64.36,56.69,0.5336,0.2099,0.2566,1.66,0.94,25.6,22.7,0,2,0.14,1.28,0.25,1.36,0,1.52"
"2018,2018-08-12,2411,""Barclays Premier League"",""Arsenal"",""Man City"",81.57,92.13,0.2765,0.4894,0.2341,1.47,2,68.1,74.4,0,2,0.5,1.82,1.4,1.26,0,2.1"
"2018,2018-08-12,1832,""Belgian Jupiler League"",""Sporting de Charleroi"",""Anderlecht"",47.15,65.48,0.249,0.5207,0.2303,1.27,1.92,12,66.2,1,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1882,""Turkish Turkcell Super Lig"",""Buyuksehyr"",""Trabzonspor"",64.64,57.07,0.56,0.2111,0.229,1.9,1.08,46.2,26.8,2,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1882,""Turkish Turkcell Super Lig"",""Konyaspor"",""Erzurum BB"",49.67,33.55,0.5956,0.1566,0.2477,1.66,0.71,19.9,41.5,3,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1864,""Portuguese Liga"",""Moreirense"",""Sporting CP"",39.78,67.88,0.1761,0.583,0.2409,0.86,1.77,29.2,47.6,1,3,0.8,2.12,1,1.28,1.05,2.63"
"2018,2018-08-12,1832,""Belgian Jupiler League"",""Gent"",""Waasland-Beveren"",57.14,42.65,0.6214,0.1474,0.2312,1.82,0.75,25.4,9.9,4,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1882,""Turkish Turkcell Super Lig"",""Besiktas"",""Akhisar Belediyespor"",72.42,45.25,0.806,0.0553,0.1387,2.51,0.51,65.3,16.9,2,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1882,""Turkish Turkcell Super Lig"",""Goztep"",""Yeni Malatyaspor"",45.07,44.03,0.4572,0.2613,0.2815,1.37,0.96,28.4,25.7,1,3,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1843,""French Ligue 1"",""Paris SG"",""Caen"",88.84,54.52,0.8979,0.0184,0.0836,2.97,0.28,71.8,31.5,3,0,2.67,0.19,1.7,0.45,2.68,0"
"2018,2018-08-12,1864,""Portuguese Liga"",""Sp Braga"",""Nacional"",61.44,41.73,0.6546,0.1387,0.2067,2.08,0.84,24.8,22,4,2,1.78,1.33,1.83,0.19,4.16,2.1"
"2018,2018-08-13,1882,""Turkish Turkcell Super Lig"",""Kayserispor"",""Antalyaspor"",39.45,41.2,0.4414,0.3058,0.2527,1.59,1.28,41,33,2,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-13,1864,""Portuguese Liga"",""Portimonense"",""Boavista"",45.24,44.21,0.4558,0.2792,0.2651,1.53,1.14,19.1,19.4,0,2,1.34,0.59,1.62,0.49,0,1.58"
"2018,2018-08-17,1849,""Dutch Eredivisie"",""Groningen"",""Willem II"",42.17,39.75,0.4625,0.2648,0.2726,1.65,1.19,22.5,27.8,0,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-17,1869,""Spanish Primera Division"",""Girona FC"",""Valladolid"",72.49,68.17,0.5251,0.2222,0.2527,1.62,0.96,31.1,34.4,0,0,0.71,0.03,1.58,0.17,0,0"
"2018,2018-08-17,1832,""Belgian Jupiler League"",""Anderlecht"",""Mouscron"",66.05,33.71,0.8368,0.0492,0.114,2.92,0.6,64,26.7,2,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-17,1882,""Turkish Turkcell Super Lig"",""Trabzonspor"",""Sivasspor"",55.46,45.11,0.5538,0.2124,0.2338,1.84,1.05,11.8,16.8,3,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-17,1843,""French Ligue 1"",""Reims"",""Lyon"",54.92,76.21,0.2127,0.5467,0.2406,1.05,1.82,25.8,58.7,1,0,0.71,1.05,0.29,2.33,1.05,0"
"2018,2018-08-17,1864,""Portuguese Liga"",""Aves"",""Tondela"",39.74,40.89,0.4351,0.2922,0.2727,1.44,1.13,37.8,33.1,2,2,2.34,0.85,1.34,0.96,2.1,2.1"
"2018,2018-08-17,1869,""Spanish Primera Division"",""Betis"",""Levante"",74.55,67.88,0.5406,0.2171,0.2423,1.72,1,27.6,28.3,0,3,1.06,2.35,1.85,0.43,0,2.63"
"2018,2018-08-18,2411,""Barclays Premier League"",""Cardiff"",""Newcastle"",58.62,67.27,0.3643,0.342,0.2936,1.25,1.2,42.7,26.4,0,0,1.16,1.78,0.95,0.74,0,0"
"2018,2018-08-18,2411,""Barclays Premier League"",""Leicester"",""Wolves"",70.92,62.66,0.5266,0.2119,0.2616,1.68,0.97,17.5,30.1,2,0,0.19,1.05,0.85,1.06,2.1,0"
"2018,2018-08-18,2411,""Barclays Premier League"",""Everton"",""Southampton"",67.91,67.33,0.4463,0.2687,0.285,1.44,1.05,26.5,23.9,2,1,1.9,1.77,1.54,0.92,2.1,1.05"
"2018,2018-08-18,2411,""Barclays Premier League"",""West Ham"",""Bournemouth"",63.44,63.61,0.4434,0.2945,0.2621,1.63,1.29,30.4,26.2,1,2,1.11,1.83,1.06,1.44,1.05,2.1"
"2018,2018-08-18,2411,""Barclays Premier League"",""Tottenham"",""Fulham"",85.65,63.69,0.7806,0.0627,0.1567,2.44,0.54,60.1,33.4,3,1,3.05,1.3,3.12,1.16,2.97,1.05"
"2018,2018-08-18,1843,""French Ligue 1"",""Guingamp"",""Paris SG"",58.17,88.9,0.1147,0.7139,0.1714,0.92,2.52,22.3,54,1,3,1.41,2.88,1.41,1.99,1.05,2.64"
"2018,2018-08-18,1864,""Portuguese Liga"",""Chaves"",""Portimonense"",43.21,44.91,0.4348,0.3157,0.2495,1.65,1.37,23.7,20.1,2,0,1.72,0.32,0.78,1.01,2.1,0"
"2018,2018-08-18,1854,""Italy Serie A"",""Chievo"",""Juventus"",55.66,89.44,0.0958,0.7149,0.1892,0.64,2.16,34.9,61.5,2,3,1.09,2.49,0.32,2.39,2.1,3.15"
"2018,2018-08-18,1832,""Belgian Jupiler League"",""Lokeren"",""Standard"",35.2,63.79,0.1833,0.5961,0.2207,1.01,2,28.6,45.8,0,3,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1869,""Spanish Primera Division"",""Celta"",""Espanol"",73.11,74.29,0.4828,0.2588,0.2584,1.55,1.06,25.6,23.5,1,1,0.48,0.6,1.02,1.18,1.05,1.05"
"2018,2018-08-18,1882,""Turkish Turkcell Super Lig"",""Bursaspor"",""Kayserispor"",43.1,41.32,0.4742,0.2698,0.2561,1.59,1.14,31.7,30.7,0,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1849,""Dutch Eredivisie"",""VVV Venlo"",""Ajax"",32.84,73.47,0.0982,0.7096,0.1922,0.73,2.31,30.7,71.1,0,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,2411,""Barclays Premier League"",""Chelsea"",""Arsenal"",85.12,81.05,0.5039,0.2599,0.2362,1.98,1.37,65.6,67.3,3,2,2.25,2.49,1.85,1.84,3.15,2.1"
"2018,2018-08-18,1849,""Dutch Eredivisie"",""NAC"",""Graafschap"",35.47,39.16,0.4105,0.2823,0.3072,1.32,1.04,36,20.5,3,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1864,""Portuguese Liga"",""Boavista"",""Benfica"",44.53,75.84,0.1303,0.6516,0.2181,0.72,1.93,11.9,62.6,0,2,0.45,0.97,0.36,1.37,0,2.1"
"2018,2018-08-18,1843,""French Ligue 1"",""Dijon"",""Nantes"",57.49,60.46,0.4307,0.2992,0.2701,1.47,1.18,21.7,19.4,2,0,2.6,0.24,1.1,0.94,2.02,0"
"2018,2018-08-18,1843,""French Ligue 1"",""Rennes"",""Angers"",61.37,58.91,0.4696,0.256,0.2744,1.48,1.02,21.8,25.8,1,0,0.44,0.29,0.67,0.7,1.05,0"
"2018,2018-08-18,1843,""French Ligue 1"",""Monaco"",""Lille"",70.68,57.01,0.6357,0.1562,0.2081,2.14,0.96,50.9,19.8,0,0,1.64,0.63,0.87,1.49,0,0"
"2018,2018-08-18,1832,""Belgian Jupiler League"",""Waasland-Beveren"",""St Truiden"",40.85,37.75,0.4717,0.2497,0.2786,1.42,0.95,17.2,23.8,2,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1843,""French Ligue 1"",""Amiens"",""Montpellier"",53.75,60.74,0.3885,0.3079,0.3036,1.18,1.02,37.7,22.4,1,2,1.1,0.25,0.77,0.73,1.05,2.09"
"2018,2018-08-18,1832,""Belgian Jupiler League"",""Cercle Brugge"",""Waregem"",37.67,48.42,0.354,0.3816,0.2644,1.35,1.41,14.1,10.6,3,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1843,""French Ligue 1"",""Caen"",""Nice"",54.47,63.71,0.3612,0.3481,0.2906,1.21,1.18,33.7,22.9,1,1,1.26,0.48,0.66,1.15,1.05,1.05"
"2018,2018-08-18,1869,""Spanish Primera Division"",""Villarreal"",""Sociedad"",75.02,78.15,0.4249,0.3235,0.2516,1.55,1.32,30.2,44.3,1,2,1.42,0.48,1.68,0.68,1.05,2.1"
"2018,2018-08-18,1832,""Belgian Jupiler League"",""Kortrijk"",""Oostende"",45.75,47.24,0.4455,0.297,0.2575,1.57,1.24,7.1,6.9,1,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1854,""Italy Serie A"",""Lazio"",""Napoli"",77.89,82.73,0.3853,0.3555,0.2591,1.5,1.43,68.1,64.2,1,2,1.35,1.42,1.21,1.26,1.05,2.1"
"2018,2018-08-18,1882,""Turkish Turkcell Super Lig"",""Yeni Malatyaspor"",""Fenerbahce"",47.08,72.16,0.1907,0.5853,0.2239,1.01,1.94,14.1,59.8,1,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1882,""Turkish Turkcell Super Lig"",""Antalyaspor"",""Konyaspor"",39.33,49.24,0.3716,0.3518,0.2766,1.27,1.23,39,13.1,3,3,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1849,""Dutch Eredivisie"",""For Sittard"",""PSV EIndhoven"",36.74,70,0.1479,0.6332,0.2189,0.95,2.17,28.6,61.1,1,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1849,""Dutch Eredivisie"",""Heracles"",""Den Haag"",39.51,38.61,0.4502,0.2807,0.2692,1.67,1.27,24.1,27.1,4,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-18,1864,""Portuguese Liga"",""Sporting CP"",""Setubal"",68.04,43.1,0.727,0.0875,0.1856,2.14,0.59,48.4,15.9,2,1,1.26,0.86,1.24,0.43,2.1,1.05"
"2018,2018-08-18,1869,""Spanish Primera Division"",""Barcelona"",""Alaves"",91.97,70.11,0.8659,0.0348,0.0993,2.92,0.46,81.6,31.6,3,0,3.41,0.24,3.44,0.27,2.29,0"
"2018,2018-08-19,1849,""Dutch Eredivisie"",""Utrecht"",""Zwolle"",44.2,32.34,0.5578,0.1967,0.2456,1.94,1.06,21.2,34.8,2,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,2411,""Barclays Premier League"",""Man City"",""Huddersfield"",92.53,59.29,0.8927,0.0146,0.0927,2.76,0.2,91.3,41.4,6,1,4.46,0.74,3.95,0.52,5.81,1.05"
"2018,2018-08-19,1849,""Dutch Eredivisie"",""Feyenoord"",""Excelsior"",62.21,34.54,0.7601,0.076,0.1639,2.55,0.68,34.4,29.8,3,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,1832,""Belgian Jupiler League"",""Antwerp"",""Club Brugge"",45.13,70.33,0.1842,0.576,0.2398,0.89,1.78,12,77,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,1849,""Dutch Eredivisie"",""FC Emmen"",""AZ"",37.74,64.07,0.1888,0.5653,0.2458,1.02,1.93,22.4,61.4,1,4,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,2411,""Barclays Premier League"",""Burnley"",""Watford"",65.91,67.29,0.4229,0.2812,0.2959,1.33,1.03,27.1,19.9,1,3,0.8,1.71,0.77,1.63,1.05,3.15"
"2018,2018-08-19,1843,""French Ligue 1"",""Strasbourg"",""St Etienne"",59.02,61.19,0.4228,0.305,0.2722,1.45,1.19,19.4,23.3,1,1,0.65,0.39,1.32,0.46,0.84,1.05"
"2018,2018-08-19,1849,""Dutch Eredivisie"",""Heerenveen"",""Vitesse"",43.37,54.73,0.3299,0.4139,0.2562,1.55,1.76,12.2,25.4,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,1864,""Portuguese Liga"",""Rio Ave"",""Maritimo"",45.49,42.52,0.4679,0.2427,0.2894,1.35,0.89,20.7,20.2,3,1,2.24,1.83,1.15,1.31,2.72,1.05"
"2018,2018-08-19,1864,""Portuguese Liga"",""Nacional"",""Moreirense"",41.77,39.65,0.4632,0.2635,0.2733,1.46,1.04,31,33.9,1,2,2.87,1.68,1.23,1.14,1.05,2.1"
"2018,2018-08-19,1843,""French Ligue 1"",""Toulouse"",""Bordeaux"",57.34,62.31,0.4073,0.3097,0.283,1.34,1.13,29.5,19.5,2,1,1.12,0.98,0.95,0.72,2.1,1.05"
"2018,2018-08-19,2411,""Barclays Premier League"",""Brighton"",""Man United"",61.87,81.59,0.2142,0.5265,0.2593,0.99,1.7,34.9,56.1,3,2,1.63,1.62,0.68,1.02,3.15,2.1"
"2018,2018-08-19,1832,""Belgian Jupiler League"",""Genk"",""Sporting de Charleroi"",62.35,46.5,0.6563,0.1273,0.2164,1.93,0.71,50.4,6.6,3,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,1854,""Italy Serie A"",""Torino"",""Roma"",65.93,80.06,0.2549,0.4849,0.2602,1.1,1.62,26.5,60.2,0,1,0.62,1.11,0.93,1.9,0,1.05"
"2018,2018-08-19,1882,""Turkish Turkcell Super Lig"",""Erzurum BB"",""Besiktas"",34.16,71.82,0.1182,0.7073,0.1746,0.88,2.41,43.9,65.2,1,3,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,1882,""Turkish Turkcell Super Lig"",""Akhisar Belediyespor"",""Rizespor"",45.97,36.95,0.535,0.2196,0.2454,1.71,1.01,23.1,42.6,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-19,1869,""Spanish Primera Division"",""Eibar"",""Huesca"",75.58,68.7,0.5304,0.2025,0.2671,1.49,0.81,25.8,33.3,1,2,1.54,1.53,2.32,0.52,1.05,2.1"
"2018,2018-08-19,1864,""Portuguese Liga"",""Belenenses"",""Porto"",43.36,80.68,0.0904,0.7346,0.175,0.66,2.29,16.3,72.3,2,3,1.69,1.81,0.94,1.82,2.1,3.15"
"2018,2018-08-19,1832,""Belgian Jupiler League"",""Eupen"",""Gent"",34.81,59.24,0.2175,0.5584,0.224,1.17,1.99,25.5,29.9,2,3,NA,NA,NA,NA,NA,NA"
