season	club	age	players used	% foreigners playing time	Stadium size	avg attendance abs	occupancy	covid	covid occupancy
2018/19	Vitesse	25.2	26	0,618	21248	15346	0,722232681	0	0
2018/19	VVV Venlo	26.3	24	0,342	8000	6828	0,8535	0	0
2018/19	Willem II	23.8	28	0,791	14700	12998	0,884217687	0	0
2018/19	Aves	26.8	34	0,836	5441	2434	0,447344238	0	0
2018/19	Belenenses	26.8	31	0,557	37593	2889	0,076849413	0	0
2018/19	Benfica	25.2	29	0,545	65000	53824	0,828061538	0	0
2018/19	Boavista	27.7	31	0,593	28263	8155	0,288539787	0	0
2018/19	Sp Braga	26.1	24	0,492	30286	12035	0,397378327	0	0
2018/19	Chaves	26.9	33	0,743	9000	4550	0,505555556	0	0
2018/19	Feirense	27.4	33	0,534	5401	3049	0,564525088	0	0
2018/19	Maritimo	26.5	30	0,774	10600	6622	0,624716981	0	0
2018/19	Moreirense	26.5	26	0,483	6153	2275	0,369738339	0	0
2018/19	Nacional	25.4	30	0,634	5586	2595	0,464554243	0	0
2018/19	Portimonense	25.1	32	0,705	6000	3313	0,552166667	0	0
2018/19	Porto	27.3	27	0,847	50399	41626	0,825929086	0	0
2018/19	Rio Ave	24.6	33	0,732	9065	3630	0,400441258	0	0
2018/19	Santa Clara	26.3	31	0,652	15000	4010	0,267333333	0	0
2018/19	Sp Lisbon	26.6	31	0,826	50080	33691	0,67274361	0	0
2018/19	Tondela	26.5	25	0,336	5000	2702	0,5404	0	0
2018/19	Guimaraes	25.4	29	0,633	29865	18249	0,611049724	0	0
2018/19	Setubal	27.3	32	0,407	18642	4784	0,256624826	0	0
2018/19	Akhisar Belediyespor	29.5	33	0,558	12139	5598	0,46115825	0	0
2018/19	Alanyaspor	29.2	29	0,63	10128	4888	0,482622433	0	0
2018/19	Ankaragucu	29.3	38	0,649	20560	10242	0,498151751	0	0
2018/19	Antalyaspor	28.3	31	0,563	32537	9901	0,30429972	0	0
2018/19	Besiktas	29.3	30	0,662	41188	29872	0,725259784	0	0
2018/19	Bursaspor	25.8	31	0,425	43331	21358	0,492903464	0	0
